								
N	Word	Freq.	%	Texts	%	Dispersion	Lemmas	Set
134	DIRECCIÓN	222	0,09	n/a	n/a	n/a	DIRECCIÓN[221] DIRECCIONES[1]	
135	RELACIÓN	222	0,09	n/a	n/a	n/a	RELACIÓN[196] RELACIONES[26]	
136	EXPULSIÓN	220	0,09	n/a	n/a	n/a	EXPULSIÓN[218] EXPULSIONES[2]	
137	GESTIÓN	220	0,09	n/a	n/a	n/a	GESTIÓN[215] GESTIONES[5]	
138	REFUGIADO	220	0,09	n/a	n/a	n/a	REFUGIADO[132] REFUGIADA[5] REFUGIADAS[7] REFUGIADOS[76]	
139	CENTRAR	219	0,09	n/a	n/a	n/a	CENTRAR[0] CENTRA[1] CENTRADA[1] CENTRARÁN[1] CENTRO[216]	
140	CONCEDER	219	0,09	n/a	n/a	n/a	CONCEDER[23] CONCEDA[19] CONCEDAN[3] CONCEDE[10] CONCEDEN[2] CONCEDERÁ[24] CONCEDERÁN[4] CONCEDIDA[69] CONCEDIDAS[17] CONCEDIDO[34] CONCEDIDOS[3] CONCEDIENDO[5] CONCEDIÓ[6]	
141	FORMA	219	0,09	n/a	n/a	n/a	FORMA[208] FORMAS[11]	
142	MESES	219	0,09	16	57,14	0,72		
143	MEDIDA	218	0,09	n/a	n/a	n/a	MEDIDA[68] MEDIDAS[150]	
144	TRABAJADORES	218	0,09	8	28,57	0,58		
145	DATOS	217	0,09	16	57,14	0,67		
146	CENTRO	216	0,09	10	35,71	0,56		
147	REGISTRAR	216	0,09	n/a	n/a	n/a	REGISTRAR[3] REGISTRADA[21] REGISTRADAS[4] REGISTRADOS[2] REGISTRARÁ[5] REGISTRO[181]	
148	SIGUIENTE	216	0,09	n/a	n/a	n/a	SIGUIENTE[0] SIGUIENTES[216]	
149	SIGUIENTES	216	0,09	20	71,43	0,84		
150	IDENTIDAD	215	0,09	n/a	n/a	n/a	IDENTIDAD[214] IDENTIDADES[1]	
151	CUYO	210	0,08	n/a	n/a	n/a	CUYO[68] CUYA[103] CUYAS[5] CUYOS[34]	
152	INTERIOR	210	0,08	n/a	n/a	n/a	INTERIOR[209] INTERIORES[1]	
153	NORMATIVA	206	0,08	n/a	n/a	n/a	NORMATIVA[203] NORMATIVAS[3]	
154	ÁMBITO	201	0,08	n/a	n/a	n/a	ÁMBITO[189] ÁMBITOS[12]	
155	FECHA	201	0,08	n/a	n/a	n/a	FECHA[191] FECHAS[10]	
156	RECURSO	201	0,08	n/a	n/a	n/a	RECURSO[59] RECURSOS[142]	
157	DOCUMENTO	200	0,08	17	60,71	0,76		
158	PONER	200	0,08	n/a	n/a	n/a	PONER[0] PONDRÁ[28] PONDRÁN[6] PONE[2] PONGA[8] PONGAN[5] PUESTA[22] PUESTAS[1] PUESTO[51] PUESTOS[75] PUSIERA[2]	
159	INFORMACIÓN	199	0,08	n/a	n/a	n/a	INFORMACIÓN[192] INFORMACIONES[7]	
160	PROPONER	195	0,08	n/a	n/a	n/a	PROPONER[15] PROPONDRÁ[5] PROPONE[6] PROPONGA[1] PROPONGAN[2] PROPONIENDO[1] PROPUESTA[139] PROPUESTAS[24] PROPUESTO[1] PROPUSIERA[1]	
161	AJENO	191	0,08	n/a	n/a	n/a	AJENO[2] AJENA[176] AJENAS[12] AJENOS[1]	
162	GOBERNAR	188	0,08	n/a	n/a	n/a	GOBERNAR[0] GOBIERNO[188]	
163	GOBIERNO	188	0,08	17	60,71	0,75		
164	INMIGRACIÓN	188	0,08	13	46,43	0,73		
165	VIGENCIA	188	0,08	11	39,29	0,58		
166	LEGAL	187	0,07	n/a	n/a	n/a	LEGAL[160] LEGALES[27]	
167	NACIONALIDAD	187	0,07	n/a	n/a	n/a	NACIONALIDAD[185] NACIONALIDADES[2]	
168	SOLICITUDES	187	0,07	17	60,71	0,75		
169	EXPEDIENTE	186	0,07	15	53,57	0,74		
170	INFORME	186	0,07	15	53,57	0,71		
171	INFRACCIÓN	185	0,07	n/a	n/a	n/a	INFRACCIÓN[99] INFRACCIONES[86]	
172	PERJUICIO	185	0,07	n/a	n/a	n/a	PERJUICIO[184] PERJUICIOS[1]	
173	NECESIDAD	184	0,07	n/a	n/a	n/a	NECESIDAD[91] NECESIDADES[93]	
174	ENCONTRAR	183	0,07	n/a	n/a	n/a	ENCONTRAR[3] ENCONTRADO[1] ENCONTRARA[2] ENCONTRARÁ[2] ENCONTRASE[6] ENCONTRASEN[4] ENCUENTRAN[27] ENCUENTRE[77] ENCUENTREN[61]	
175	PODER	183	0,07	n/a	n/a	n/a	PODER[0] PODERES[18] PODIDO[10] PUDIENDO[19] PUDIERA[19] PUDIERAN[24] PUDIERON[1] PUDIESE[2] PUDIESEN[2] PUEDAN[88]	
176	REGISTRO	181	0,07	17	60,71	0,68		
177	VIAJAR	181	0,07	n/a	n/a	n/a	VIAJAR[2] VIAJADO[4] VIAJAN[2] VIAJE[150] VIAJEN[5] VIAJES[18]	
178	CUMPLIMIENTO	180	0,07	17	60,71	0,77		
179	BOE	179	0,07	21	75,00	0,54		
180	COMPETENTES	179	0,07	15	53,57	0,75		
181	TRÁMITE	179	0,07	n/a	n/a	n/a	TRÁMITE[138] TRÁMITES[41]	
182	REALIZAR	177	0,07	n/a	n/a	n/a	REALIZAR[0] REALICE[20] REALICEN[22] REALIZA[10] REALIZADA[23] REALIZADAS[14] REALIZADOS[10] REALIZANDO[2] REALIZARÁ[53] REALIZARAN[1] REALIZARÁN[20] REALIZASEN[2]	
183	AJENA	176	0,07	7	25,00	0,63		
184	MIGRACIÓN	176	0,07	n/a	n/a	n/a	MIGRACIÓN[11] MIGRACIONES[165]	
185	JURÍDICO	175	0,07	n/a	n/a	n/a	JURÍDICO[85] JURÍDICA[74] JURÍDICAS[8] JURÍDICOS[8]	
186	NORMA	175	0,07	n/a	n/a	n/a	NORMA[30] NORMAS[145]	
187	CONSULAR	174	0,07	n/a	n/a	n/a	CONSULAR[127] CONSULARES[47]	
188	ORGANIZACIÓN	174	0,07	n/a	n/a	n/a	ORGANIZACIÓN[89] ORGANIZACIONES[85]	
189	CONFORMIDAD	173	0,07	15	53,57	0,79		
190	PRESENTACIÓN	173	0,07	19	67,86	0,77		
191	CONTENER	172	0,07	n/a	n/a	n/a	CONTENER[17] CONTENDRÁ[14] CONTENDRÁN[5] CONTENGA[4] CONTENGAN[4] CONTENIDA[5] CONTENIDAS[19] CONTENIDO[66] CONTENIDOS[24] CONTIENE[13] CONTIENEN[1]	
192	ENTIDAD	171	0,07	n/a	n/a	n/a	ENTIDAD[71] ENTIDADES[100]	
193	PASAPORTAR	171	0,07	n/a	n/a	n/a	PASAPORTAR[0] PASAPORTE[149] PASAPORTES[22]	
194	REGULAR	170	0,07	n/a	n/a	n/a	REGULAR[25] REGULA[54] REGULABAN[1] REGULADA[11] REGULADAS[7] REGULADO[16] REGULADOS[22] REGULAN[15] REGULANDO[3] REGULARÁ[3] REGULARÁN[2] REGULARES[4] REGULE[3] REGULEN[4]	
195	CIUDADANO	169	0,07	n/a	n/a	n/a	CIUDADANO[88] CIUDADANA[12] CIUDADANOS[69]	
